id,category,image_url,badge_text,badge_bg_color,brand,title,subtitle,price, price_original ,button_type,button_label,button_data_or_url,button_display_text,button_color,order,alt_text
D52O-HCR7104,omron_arm,https://cdn.shopify.com/s/files/1/0204/3327/2854/products/2-04_2884c3b5-6546-4b43-8c20-c0b53ac245e7.jpg?v=1740742941,保固3+2年,#EC3D44,歐姆龍 OMRON,上臂式血壓計 HCR-7104,,優惠價 ❓❓," 2,380 ",postback,詢價最低⬊79折起,data,,#005eb8,8,歐姆龍OMRON 手臂式血壓計
D52O-HCR7800T,omron_arm,https://cdn.shopify.com/s/files/1/0204/3327/2854/files/D52O-HCR7800T-450.jpg?v=1740742808,保固3+2年,#EC3D44,歐姆龍 OMRON,手臂式心電血壓計 HCR-7800T ,,優惠價 ❓❓," 8,980 ",postback,詢價最低⬊79折起,data,,#005eb8,10,歐姆龍OMRON 手臂式血壓計
D52O-HEM7143T1,omron_arm,https://cdn.shopify.com/s/files/1/0204/3327/2854/products/D52O-HEM7143T1-1-450.jpg?v=1737433293,保固3年,#EC3D44,歐姆龍 OMRON,手臂式血壓計 HEM-7143T1,,優惠價 ❓❓," 1,780 ",postback,詢價最低⬊79折起,data,,#005eb8,4,歐姆龍OMRON 手臂式血壓計
D52O-HEM7141T1,omron_arm,https://cdn.shopify.com/s/files/1/0204/3327/2854/products/D52O-HEM7141T1-2-450.jpg?v=1740742586,保固3年,#EC3D44,歐姆龍 OMRON,手臂式血壓計 HEM-7141T1 ,,優惠價 ❓❓, -   ,postback,詢價最低⬊79折起,data,,#005eb8,9,歐姆龍OMRON 手臂式血壓計
D52O-HEM7155T,omron_arm,https://cdn.shopify.com/s/files/1/0204/3327/2854/files/7155T-1.jpg?v=1737433759,保固3+2年,#EC3D44,歐姆龍 OMRON,手臂式血壓計 HEM7155T,,優惠價 ❓❓," 2,780 ",postback,詢價最低⬊79折起,data,,#005eb8,5,歐姆龍OMRON 手臂式血壓計
D52O-HEM7600T,omron_arm,https://cdn.shopify.com/s/files/1/0204/3327/2854/products/2018020911181874_1.jpg?v=1656849039,保固3+2年,#EC3D44,歐姆龍 OMRON,手臂式血壓計 HEM7600T,,優惠價 ❓❓," 4,580 ",postback,詢價最低⬊79折起,data,,#005eb8,6,歐姆龍OMRON 手臂式血壓計
D52O-HEM7156,omron_arm,https://cdn.shopify.com/s/files/1/0204/3327/2854/products/HEM7156.jpg?v=1717554014,保固3年,#EC3D44,歐姆龍 OMRON,手臂式血壓計 HEM7156,,優惠價 ❓❓," 1,980 ",postback,詢價最低⬊79折起,data,,#005eb8,1,歐姆龍OMRON 手臂式血壓計
D52O-HEM7157T,omron_arm,https://cdn.shopify.com/s/files/1/0204/3327/2854/products/HEM7157T.jpg?v=1717554164,保固3+2年,#EC3D44,歐姆龍 OMRON,手臂式血壓計 HEM7157T,,優惠價 ❓❓," 2,280 ",postback,詢價最低⬊79折起,data,,#005eb8,2,歐姆龍OMRON 手臂式血壓計
D52O-JPN616T,omron_arm,https://cdn.shopify.com/s/files/1/0204/3327/2854/products/202012311256578_1.jpg?v=1717553667,保固3年,#EC3D44,歐姆龍 OMRON,手臂式血壓計 JPN616T,,優惠價 ❓❓," 3,580 ",postback,詢價最低⬊79折起,data,,#005eb8,3,歐姆龍OMRON 手臂式血壓計
D52O-JPN710T,omron_arm,https://cdn.shopify.com/s/files/1/0204/3327/2854/products/JPN710T.jpg?v=1717554325,保固3+2年,#EC3D44,歐姆龍 OMRON,手臂式血壓計 JPN710T,,優惠價 ❓❓," 4,580 ",postback,詢價最低⬊79折起,data,,#005eb8,7,歐姆龍OMRON 手臂式血壓計
